srno,project_name,difficulty_score,7_segment_display_0.56_inch_white,arduino,battery,breadboard_power_supply,breadboard_white,capacitor,DC_motor,diode,gps_module_GY-NEO6MV2,hc05_bluetooth_module,ir_sensor_module_lm393_blue_proximity_sensor,jetson_nano,jumper_wire,l298n_motor_driver,lcd_dispplay_module_green_1602A,ldr_5mm,led_3v_through_hole_5mm,led_dot_matrix_module_8x8_max7219,linear_potentiometer_module_red,mpu6050_module_blue,oled_display,pir_sensor_module_HC-SR501,pressure_sensor,proximity_sensor,push_button,raspberry_pi,raspberry_pi_pico,relay_module,resistor,rotary_encoder_module_hw-040,servo_motor,Sound_sensor,temperature_sensor,tilt_sensor,touch_sensor,ultrasonic_sensor,voltage_regulator,extra_components,summary
1,LED Blinking with Arduino,1.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,A simple project to make an LED blink using an Arduino and basic programming skills.
2,Button Controlled LED,1.1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Use a button to control the state of an LED, demonstrating basic input and output control with Arduino."
3,Basic DC Motor Control,1.2,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Control the speed and direction of a DC motor using an Arduino and motor driver.
4,Breadboard Power Supply Setup,1.3,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Set up a breadboard power supply to provide regulated voltage to electronic components.
5,Capacitor Charge and Discharge Experiment,1.4,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Experiment with charging and discharging a capacitor to understand its properties.
6,Simple IR Sensor Detection,1.5,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,"Detect objects using an IR sensor and Arduino, suitable for basic obstacle detection."
7,Temperature Sensor with LCD Display,1.6,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1K resistor,,Measure temperature using a sensor and display the value on an LCD screen with Arduino.
8,Distance Measurement using Ultrasonic Sensor,1.7,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,Use an ultrasonic sensor to measure distance and display the result on an Arduino.
9,Bluetooth Controlled LED,1.8,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Control an LED using a smartphone via a Bluetooth connection and Arduino.
10,LED Dot Matrix Display Scrolling Text,1.9,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arduino IDE software,,Display scrolling text on an LED dot matrix using an Arduino for a simple visual effect.
11,Simple Alarm System using PIR Sensor,1.9,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Buzzer,,Build a basic alarm system using a PIR sensor and Arduino to detect motion.
12,Light Sensing LED using LDR,1.7,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1K resistor,,Create a light-sensitive LED circuit using an LDR and Arduino to control the LED based on ambient light.
13,LED Control with Touch Sensor,1.8,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Control an LED with a touch sensor and Arduino to learn about capacitive touch sensing.
14,Servo Motor Control with Potentiometer,2.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Use a potentiometer to control the position of a servo motor with Arduino.
15,Sound Sensor Controlled LED,2.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,"Use a sound sensor to control an LED, demonstrating basic sound detection with Arduino."
16,Ultrasonic Sensor Based Distance Measurement,2.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,Measure distance using an ultrasonic sensor and display the result with Arduino.
