                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4004,                0.33406,                0.62809,                 3.4889,             0.00023707,             0.00023707,             0.00023707
                      2,                 2.3721,                0.53785,                0.82751,                 3.2695,             0.00045939,             0.00045939,             0.00045939
                      3,                 1.8498,                 0.5837,                0.86972,                 3.1711,               0.000666,               0.000666,               0.000666
                      4,                  1.632,                0.64338,                0.89447,                 3.1121,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.4724,                0.67031,                0.90029,                 3.0919,             0.00061975,             0.00061975,             0.00061975
                      6,                 1.3898,                0.68413,                0.90393,                 3.0634,             0.00059619,             0.00059619,             0.00059619
                      7,                 1.2799,                0.69651,                0.91849,                 3.0434,             0.00057263,             0.00057263,             0.00057263
                      8,                 1.2186,                0.71325,                0.91849,                 3.0218,             0.00054907,             0.00054907,             0.00054907
                      9,                  1.126,                0.71033,                 0.9214,                 3.0218,              0.0005255,              0.0005255,              0.0005255
                     10,                 1.1045,                0.73726,                0.92576,                 3.0022,             0.00050194,             0.00050194,             0.00050194
                     11,                  1.027,                0.74017,                0.92722,                 2.9911,             0.00047838,             0.00047838,             0.00047838
                     12,                 1.0182,                0.74309,                0.93013,                 2.9869,             0.00045482,             0.00045482,             0.00045482
                     13,                0.99076,                0.74309,                0.92431,                 2.9771,             0.00043126,             0.00043126,             0.00043126
                     14,                0.89761,                0.74891,                0.93159,                  2.969,             0.00040769,             0.00040769,             0.00040769
                     15,                0.87502,                  0.754,                 0.9345,                 2.9605,             0.00038413,             0.00038413,             0.00038413
                     16,                0.86338,                0.76856,                0.93231,                  2.957,             0.00036057,             0.00036057,             0.00036057
                     17,                0.81526,                0.76783,                0.93304,                 2.9488,             0.00033701,             0.00033701,             0.00033701
                     18,                0.80377,                0.76565,                0.93377,                 2.9502,             0.00031345,             0.00031345,             0.00031345
                     19,                0.78708,                0.76128,                0.93159,                 2.9493,             0.00028988,             0.00028988,             0.00028988
                     20,                0.74891,                0.78239,                 0.9345,                 2.9392,             0.00026632,             0.00026632,             0.00026632
                     21,                0.75291,                0.77511,                0.93304,                 2.9408,             0.00024276,             0.00024276,             0.00024276
                     22,                0.74641,                0.78748,                0.93595,                 2.9313,              0.0002192,              0.0002192,              0.0002192
                     23,                0.68668,                0.78239,                0.93741,                 2.9329,             0.00019564,             0.00019564,             0.00019564
                     24,                0.68803,                0.77875,                0.93377,                 2.9318,             0.00017207,             0.00017207,             0.00017207
                     25,                0.67112,                0.78093,                0.93886,                 2.9329,             0.00014851,             0.00014851,             0.00014851
                     26,                0.66621,                0.78239,                0.93959,                 2.9261,             0.00012495,             0.00012495,             0.00012495
                     27,                0.64416,                0.78894,                0.93959,                 2.9193,             0.00010139,             0.00010139,             0.00010139
                     28,                0.64189,                0.78821,                0.93741,                 2.9216,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.65547,                0.78748,                0.93741,                 2.9258,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.60743,                0.79112,                0.93959,                 2.9232,             3.0702e-05,             3.0702e-05,             3.0702e-05
